time,mag,place,lon,lat,depth,time_days
2004-04-01 03:10:30.500000+00:00,3.0,EGYPT,35.23,23.76,5.4,2226.752142361111
2004-04-01 02:07:26+00:00,3.1,EGYPT,35.23,23.77,4.9,2226.7083402777776
2004-04-01 02:00:48.100000+00:00,3.1,EGYPT,35.11,23.84,4.0,2226.7037349537036
2004-04-01 01:46:00+00:00,4.2,EGYPT,35.208,23.7664,10.0,2226.6934560185186
2004-03-25 02:48:35.800000+00:00,3.7,EGYPT,31.74,30.54,24.7,2219.736925925926
2004-03-22 14:48:05+00:00,3.5,EGYPT,35.13,23.85,7.0,2217.2365694444443
2004-05-20 09:33:38.500000+00:00,3.1,EGYPT,34.7678,28.82,2.0,2276.018207175926
2004-05-17 22:32:49.700000+00:00,3.3,EGYPT,35.23,23.78,5.0,2273.559309027778
2004-05-17 02:16:16.300000+00:00,3.0,EGYPT,34.867,29.158,14.0,2272.7144780092594
2004-05-13 22:23:09.200000+00:00,3.2,EGYPT,33.76,26.11,11.6,2269.552590277778
2004-05-12 20:26:10.700000+00:00,3.1,EGYPT,35.22,23.78,4.4,2268.471357638889
2004-05-09 14:23:46+00:00,3.3,EGYPT,35.18,23.75,6.2,2265.2196828703704
2004-05-01 22:39:05.400000+00:00,3.2,EGYPT,34.4654,28.4477,2.0,2257.5636574074074
2004-05-01 17:14:01.700000+00:00,3.3,EGYPT,34.4695,28.4336,2.0,2257.337920138889
2004-04-27 11:20:41.800000+00:00,3.2,RED SEA,34.5356,27.4067,20.0,2253.092550925926
2004-04-23 07:01:59.400000+00:00,3.4,RED SEA,34.1066,27.8663,20.0,2248.9128935185186
2004-04-21 23:12:22.100000+00:00,3.0,RED SEA,34.8829,26.811,20.0,2247.586767361111
2004-04-21 08:39:10.400000+00:00,4.0,EGYPT,33.8218,26.7892,10.0,2246.9803819444446
2004-06-19 13:41:47.800000+00:00,3.0,EGYPT,30.98,27.21,5.9,2306.1905370370373
2004-06-16 15:24:56.700000+00:00,3.5,RED SEA,34.473,27.9571,2.0,2303.2621678240744
2004-06-16 02:23:17.800000+00:00,3.4,WESTERN SAUDI ARABIA,35.8733,27.0294,10.0,2302.7193564814816
2004-06-05 18:39:34.600000+00:00,3.2,RED SEA,34.43,26.68,12.7,2292.3973287037034
2004-06-05 17:50:12.200000+00:00,3.3,RED SEA,34.4207,27.914,5.0,2292.363041666667
2004-06-03 09:32:35.100000+00:00,4.2,RED SEA,34.3977,26.9064,10.0,2290.0174733796293
2004-06-01 00:03:21.100000+00:00,3.0,EGYPT,33.93,24.61,2.8,2287.6221724537036
2004-05-31 12:35:06.200000+00:00,3.0,DEAD SEA REGION,35.592,31.715,23.7,2287.144222222222
2004-07-17 00:58:33.400000+00:00,3.0,EGYPT,35.62,24.25,14.9,2333.6605092592595
2004-07-09 12:16:27.600000+00:00,3.6,DEAD SEA REGION,35.5409,31.7047,17.1,2326.131275462963
2004-07-07 14:35:09.400000+00:00,4.6,DEAD SEA REGION,35.4919,31.9438,22.5,2324.2275925925924
2004-07-06 12:13:51.100000+00:00,3.3,EGYPT,32.5396,29.4863,30.0,2323.1294641203704
2004-06-27 03:48:37.800000+00:00,3.1,EGYPT,34.19,24.44,31.0,2313.778615740741
2004-06-25 23:40:48.700000+00:00,3.0,EGYPT,35.21,23.72,4.1,2312.606519675926
2004-08-17 05:24:55.200000+00:00,3.2,EGYPT,33.38,22.51,16.0,2364.8454837962963
2004-08-12 13:43:30.400000+00:00,3.3,EGYPT,34.71,25.38,7.4,2360.191724537037
2004-08-05 19:09:02.400000+00:00,3.4,RED SEA,34.6811,26.772,10.0,2353.4177893518518
2004-08-05 17:39:24.200000+00:00,3.7,RED SEA,34.3234,27.6236,10.0,2353.355541666667
